checkpoint,family,full_global_mass,logits_max_diff,logits_mean_diff,position,prefix_global_mass,route_action_mismatch_rate
checkpoint_step_00015000,hidden,0.0,2.461132049560547,0.45217910408973694,16,0.0,0.23076923076923078
checkpoint_step_00015000,hidden,0.0,1.5535500049591064,0.3028814196586609,32,0.0,0.15384615384615385
checkpoint_step_00015000,hidden,0.0,1.4122052192687988,0.241044282913208,48,0.0,0.15384615384615385
checkpoint_step_00015000,hidden,0.0,1.2403717041015625,0.23772123456001282,64,0.0,0.15384615384615385
checkpoint_step_00015000,hidden,0.0,1.241353988647461,0.2318027764558792,80,0.0,0.15384615384615385
checkpoint_step_00015000,hidden,0.0,1.060380458831787,0.21925657987594604,95,0.0,0.15384615384615385
checkpoint_step_00030000,hidden,0.0,5.974926948547363,1.1778799295425415,16,0.0,0.9230769230769231
checkpoint_step_00030000,hidden,0.0,4.783532619476318,0.8627744317054749,32,0.0,0.9230769230769231
checkpoint_step_00030000,hidden,0.0,2.5673985481262207,0.4817267656326294,48,0.0,0.7692307692307693
checkpoint_step_00030000,hidden,0.0,2.167320966720581,0.4247267246246338,64,0.0,0.5384615384615384
checkpoint_step_00030000,hidden,0.0,2.039689064025879,0.31871095299720764,80,0.0,0.23076923076923078
checkpoint_step_00030000,hidden,0.0,1.3427000045776367,0.2717791795730591,95,0.0,0.15384615384615385
checkpoint_step_00045000,hidden,0.0,23.507095336914062,3.1972763538360596,16,0.0,0.9230769230769231
checkpoint_step_00045000,hidden,0.0,13.254283905029297,2.5055150985717773,32,0.0,0.8461538461538461
checkpoint_step_00045000,hidden,0.0,16.50246810913086,2.842318058013916,48,0.0,0.8333333333333334
checkpoint_step_00045000,hidden,0.0,14.164825439453125,2.5107805728912354,64,0.0,0.75
checkpoint_step_00045000,hidden,0.0,16.113466262817383,2.755481481552124,80,0.0,0.8333333333333334
checkpoint_step_00045000,hidden,0.0,15.470476150512695,2.987011432647705,95,0.0,0.9090909090909091
checkpoint_step_00015000,attention,0.1815042495727539,2.5752010345458984,0.4805053472518921,16,0.34469887614250183,0.6153846153846154
checkpoint_step_00015000,attention,0.1815042495727539,2.747859001159668,0.5097672939300537,32,0.31205493211746216,0.23076923076923078
checkpoint_step_00015000,attention,0.1815042495727539,2.0250349044799805,0.2773191034793854,48,0.29012757539749146,0.07692307692307693
checkpoint_step_00015000,attention,0.1815042495727539,1.4896631240844727,0.2845446467399597,64,0.24444429576396942,0.07692307692307693
checkpoint_step_00015000,attention,0.1815042495727539,1.5800914764404297,0.22275766730308533,80,0.1988532692193985,0.07692307692307693
checkpoint_step_00015000,attention,0.1815042495727539,1.3177928924560547,0.263272225856781,95,0.31324106454849243,0.07692307692307693
checkpoint_step_00030000,attention,0.35252949595451355,4.919623851776123,0.9652384519577026,16,0.6546611785888672,0.23076923076923078
checkpoint_step_00030000,attention,0.35252949595451355,9.20816421508789,1.6737020015716553,32,0.5583750009536743,0.23076923076923078
checkpoint_step_00030000,attention,0.35252949595451355,7.907374382019043,1.5849273204803467,48,0.5436040163040161,0.0
checkpoint_step_00030000,attention,0.35252949595451355,2.952284574508667,0.5642131567001343,64,0.5317991375923157,0.0
checkpoint_step_00030000,attention,0.35252949595451355,3.2142510414123535,0.5134459733963013,80,0.4368373155593872,0.0
checkpoint_step_00030000,attention,0.35252949595451355,2.2946834564208984,0.43906131386756897,95,0.605690062046051,0.0
checkpoint_step_00045000,attention,0.46995311975479126,5.142106056213379,0.9584043622016907,16,0.6400129795074463,0.6153846153846154
checkpoint_step_00045000,attention,0.46995311975479126,6.124687194824219,1.1274317502975464,32,0.5820795297622681,0.6923076923076923
checkpoint_step_00045000,attention,0.46995311975479126,5.284883499145508,1.008175253868103,48,0.47322720289230347,0.7692307692307693
checkpoint_step_00045000,attention,0.46995311975479126,6.75108003616333,1.1921836137771606,64,0.4882398843765259,0.5384615384615384
checkpoint_step_00045000,attention,0.46995311975479126,5.035660743713379,0.8386117219924927,80,0.42547866702079773,0.6923076923076923
checkpoint_step_00045000,attention,0.46995311975479126,8.926289558410645,1.6276994943618774,95,0.6679390072822571,0.6923076923076923
checkpoint_step_00060000,attention,0.4609743654727936,10.881438255310059,2.0228703022003174,16,0.47189077734947205,0.5714285714285714
checkpoint_step_00060000,attention,0.4609743654727936,13.219417572021484,2.5085904598236084,32,0.37976303696632385,0.7692307692307693
checkpoint_step_00060000,attention,0.4609743654727936,14.176580429077148,2.8049890995025635,48,0.3066501319408417,0.6428571428571429
checkpoint_step_00060000,attention,0.4609743654727936,14.188011169433594,2.4933559894561768,64,0.3570539355278015,0.46153846153846156
checkpoint_step_00060000,attention,0.4609743654727936,14.778181076049805,2.7841830253601074,80,0.27224788069725037,0.7692307692307693
checkpoint_step_00060000,attention,0.4609743654727936,13.244726181030273,2.581888437271118,95,0.4008854627609253,0.38461538461538464
