checkpoint,disabled_top_block,family,logits_max_abs_diff_vs_default,logits_mean_abs_diff_vs_default,reason_exact,route_entropy,route_intervention,teacher_acc,validation_loss_one_batch
checkpoint_step_00015000,0,hidden,0.0,0.0,0.625,1.6974488038283129,default,0.9270833333333333,3.2998082637786865
checkpoint_step_00015000,0,hidden,18.507768630981445,1.39870023727417,0.375,1.8681336376402113,sequential_route,0.8997395833333333,7.041870594024658
checkpoint_step_00015000,0,hidden,17.88829803466797,1.0241785049438477,0.125,1.5790146431245375,random_legal_route,0.6901041666666666,631.7448120117188
checkpoint_step_00015000,0,hidden,3.4060864448547363,0.2425788789987564,0.625,1.684671924664424,global_off,0.9270833333333333,3.3405203819274902
checkpoint_step_00015000,0,hidden,30.466644287109375,2.15285587310791,0.0,1.754947943346841,no_top_block,0.3958333333333333,6.78606653213501
checkpoint_step_00030000,0,hidden,0.0,0.0,0.625,1.7606450044191801,default,0.9427083333333333,2.994659185409546
checkpoint_step_00030000,0,hidden,19.00336456298828,1.4097108840942383,0.0,1.9789574013815985,sequential_route,0.7343749999999999,6.655200481414795
checkpoint_step_00030000,0,hidden,17.492481231689453,1.0951803922653198,0.0,1.6000917047058465,random_legal_route,0.6640625,6.996979713439941
checkpoint_step_00030000,0,hidden,7.1962456703186035,0.36104616522789,0.625,1.7800153493881226,global_off,0.9114583333333333,3.0736782550811768
checkpoint_step_00030000,0,hidden,30.60407257080078,1.9391536712646484,0.0,1.7310824479375566,no_top_block,0.4427083333333333,6.307377815246582
checkpoint_step_00045000,2,hidden,0.0,0.0,0.0,1.9442281539623554,default,0.29166666666666663,2.5200865268707275
checkpoint_step_00045000,2,hidden,13.132654190063477,1.2734498977661133,0.125,1.6318052444193099,sequential_route,0.6432291666666666,5.243557453155518
checkpoint_step_00045000,2,hidden,20.86132049560547,1.6605079174041748,0.0,1.6796520748757757,random_legal_route,0.46484374999999994,7.356087684631348
checkpoint_step_00045000,2,hidden,35.74542999267578,3.703826904296875,0.0,1.1488258143266041,global_off,0.18619791666666666,13.549046516418457
checkpoint_step_00045000,2,hidden,12.079232215881348,1.091493010520935,0.0,1.7895826643163508,no_top_block,0.25651041666666663,2.9111547470092773
checkpoint_step_00015000,0,attention,0.0,0.0,0.5,1.6022390585679274,default,0.9583333333333333,3.294501543045044
checkpoint_step_00015000,0,attention,21.231197357177734,1.4757378101348877,0.0,1.3079356087578669,sequential_route,0.7057291666666666,7.821321487426758
checkpoint_step_00015000,0,attention,17.47279167175293,1.0539517402648926,0.0,1.2943959878466558,random_legal_route,0.7109374999999999,320.88690185546875
checkpoint_step_00015000,0,attention,13.991562843322754,0.3565920293331146,0.5,1.6003318016345685,global_off,0.8294270833333333,3.369243621826172
checkpoint_step_00015000,0,attention,23.429840087890625,1.6627219915390015,0.0,1.71094761689504,no_top_block,0.6171875,5.539449691772461
checkpoint_step_00030000,0,attention,0.0,0.0,0.625,1.71298244366279,default,0.9270833333333333,2.97424054145813
checkpoint_step_00030000,0,attention,21.385913848876953,1.5361827611923218,0.0,1.8673087226019964,sequential_route,0.6380208333333333,7.1381330490112305
checkpoint_step_00030000,0,attention,15.152200698852539,1.093762755393982,0.0,1.6707309918274404,random_legal_route,0.6184895833333333,6.91713285446167
checkpoint_step_00030000,0,attention,25.32833480834961,1.1805384159088135,0.0,1.6242941277367728,global_off,0.2903645833333333,3.889190673828125
checkpoint_step_00030000,0,attention,21.594524383544922,1.2391023635864258,0.0,1.795306921005249,no_top_block,0.6028645833333333,4.202302932739258
checkpoint_step_00045000,1,attention,0.0,0.0,0.5,1.8033523651269765,default,0.9114583333333333,2.6965084075927734
checkpoint_step_00045000,1,attention,25.51082992553711,1.6239348649978638,0.0,1.8908238410949707,sequential_route,0.5729166666666666,7.329216003417969
checkpoint_step_00045000,1,attention,28.103776931762695,1.2399941682815552,0.0,1.6465282944554929,random_legal_route,0.5546875,631.9108276367188
checkpoint_step_00045000,1,attention,23.677642822265625,2.3903956413269043,0.0,1.745121194766118,global_off,0.0,8.973819732666016
checkpoint_step_00045000,1,attention,9.566449165344238,0.44438302516937256,0.5,1.6724234085816603,no_top_block,0.8463541666666667,2.8144307136535645
checkpoint_step_00060000,1,attention,0.0,0.0,0.25,1.385366828979126,default,0.3619791666666667,2.0222880840301514
checkpoint_step_00060000,1,attention,20.67318344116211,2.107330560684204,0.0,0.8500149863048484,sequential_route,0.46874999999999994,11.58634090423584
checkpoint_step_00060000,1,attention,20.612388610839844,1.9375296831130981,0.0,1.5336697265738621,random_legal_route,0.5533854166666666,320.90643310546875
checkpoint_step_00060000,1,attention,29.694074630737305,2.992968797683716,0.0,1.5026751733074586,global_off,0.0,10.58571720123291
checkpoint_step_00060000,1,attention,18.060028076171875,1.785417079925537,0.0,1.6369049383016925,no_top_block,0.7278645833333333,4.142084121704102
